	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
"front"	0	0	1	0	0	1
"general"	0	0	0	0	0	1
"head"	0	0	0	0	0	1
"measur"	0	0	0	1	0	1
"right"	0	0	0	0	0	1
"salvat"	0	0	0	0	0	1
"strike"	0	0	0	1	0	1
"thwart"	0	0	0	0	0	1
"today"	0	0	0	0	0	1
"tomorrow"	0	0	0	0	0	1
"toppl"	0	0	0	0	0	1
"born"	0	0	0	1	0	0
"campaign"	0	0	0	1	0	0
"case"	0	0	0	1	0	0
"darfur"	0	0	0	1	0	0
"death"	0	0	0	1	0	0
"emerg"	0	0	0	1	0	0
"feder"	0	0	0	1	0	0
"fever"	0	0	0	1	0	0
"figur"	0	0	0	1	0	0
"geneva"	0	0	0	1	0	0
"health"	0	0	0	1	1	0
"latest"	0	0	0	1	0	0
"mass"	0	0	0	1	0	0
"ministri"	0	0	0	1	0	0
"mosquito"	0	0	0	1	0	0
"mosquito-born"	0	0	0	1	0	0
"number"	0	0	0	1	0	0
"region"	0	0	1	1	0	0
"sudan"	0	0	0	1	0	0
"suspect"	0	0	0	1	0	0
"vaccin"	0	0	0	1	0	0
"yellow"	0	0	0	1	0	0
"africa"	0	0	0	1	0	0
"ago"	0	0	0	1	0	0
"alreadi"	0	0	0	1	1	0
"current"	0	0	0	1	1	0
"decad"	0	0	0	1	1	0
"diseas"	0	0	0	1	0	0
"epicent"	0	0	0	1	0	0
"epidem"	0	0	0	1	0	0
"given"	0	0	0	1	1	0
"kordofan"	0	0	0	1	0	0
"outbreak"	0	0	0	1	0	0
"report"	0	0	0	1	0	0
"south"	0	0	0	1	0	0
"surpass"	0	0	0	1	0	0
"two"	0	0	1	1	0	0
"worst"	0	0	0	1	0	0
"began"	0	0	0	1	0	0
"conduct"	0	0	0	1	0	0
"cover"	0	0	1	1	0	0
"district"	0	0	0	1	0	0
"emergency-respons"	0	0	0	1	0	0
"highest"	0	0	0	1	0	0
"phase"	0	0	0	1	0	0
